"","Drzava","Stevilo primerov"
"1","United States",19346790
"2","India",10286709
"3","Brazil",7619200
"4","Russian Federation",3186336
"5","France",2576420
"6","United Kingdom",2488784
"7","Italy",2107166
"8","Spain",1893502
"9","Germany",1742661
"10","Colombia",1626461
"11","Argentina",1613928
"12","Mexico",1413935
"13","Turkey",1394314
"14","Poland",1305774
"15","Iran",1225143
"16","Ukraine",1064479
"17","South Africa",1057561
"18","Peru",1012614
"19","Netherlands",797516
"20","Indonesia",743198
"21","Czechia",732022
"22","Belgium",646496
"23","Romania",632263
"24","Chile",608973
"25","Iraq",595291
"26","Canada",572982
"27","Bangladesh",513510
"28","Pakistan",479715
"29","Philippines",474064
"30","Switzerland",450075
"31","Morocco",439193
"32","Sweden",437379
"33","Portugal",413678
"34","Israel",408277
"35","Saudi Arabia",362741
"36","Austria",359362
"37","Serbia",337923
"38","Hungary",325278
"39","Jordan",294494
"40","Nepal",260593
"41","Panama",242744
"42","Japan",234395
"43","Georgia",228410
"44","Azerbaijan",218700
"45","Ecuador",212512
"46","Croatia",212007
"47","United Arab Emirates",207822
"48","Bulgaria",202266
"49","Kazakhstan",200443
"50","Belarus",194284
"51","Slovakia",184508
"52","Lebanon",181503
"53","Dominican Republic",170785
"54","Costa Rica",168114
"55","Denmark",163479
"56","Armenia",158722
"57","Bolivia",158372
"58","Palestine",155365
"59","Kuwait",150584
"60","Moldova",144818
"61","Lithuania",143903
"62","Qatar",143834
"63","Tunisia",139140
"64","Greece",138850
"65","Egypt",138062
"66","Guatemala",138012
"67","Oman",128867
"68","Myanmar",124630
"69","Ethiopia",124264
"70","Slovenia",123950
"71","Honduras",121827
"72","Venezuela",113121
"73","Malaysia",113010
"74","Bosnia and Herzegovina",110985
"75","Paraguay",106958
"76","Libya",100277
"77","Algeria",99610
"78","China",96762
"79","Kenya",96458
"80","Bahrain",92675
"81","Ireland",91779
"82","Nigeria",87510
"83","North Macedonia",83329
"84","Kyrgyzstan",81156
"85","Uzbekistan",77060
"86","Puerto Rico",76291
"87","South Korea",61769
"88","Singapore",58599
"89","Albania",58316
"90","Ghana",54771
"91","Afghanistan",52513
"92","Kosovo",51285
"93","Norway",48278
"94","Montenegro",48231
"95","Luxembourg",46598
"96","El Salvador",45960
"97","Sri Lanka",43299
"98","Latvia",40904
"99","Finland",36107
"100","Uganda",35216
"101","Australia",28408
"102","Estonia",28406
"103","Cameroon",26848
"104","Namibia",23941
"105","Sudan",23316
"106","Cyprus",22651
"107","Côte d’Ivoire",22250
"108","Zambia",20725
"109","Senegal",19140
"110","Mozambique",18642
"111","Uruguay",18480
"112","Madagascar",17714
"113","Angola",17553
"114","DR Congo",17374
"115","French Polynesia",16926
"116","Botswana",14025
"117","Zimbabwe",13867
"118","Maldives",13757
"119","Guinea",13722
"120","Mauritania",13642
"121","Tajikistan",13182
"122","French Guiana",13166
"123","Jamaica",12827
"124","Malta",12774
"125","Cuba",11863
"126","Cabo Verde",11840
"127","Syrian Arab Republic",11434
"128","Belize",10724
"129","Haiti",10015
"130","Gabon",9571
"131","Eswatini",9358
"132","Réunion",9037
"133","Guadeloupe",8620
"134","Rwanda",8383
"135","Andorra",8049
"136","Bahamas",7871
"137","Guam",7139
"138","Trinidad and Tobago",7132
"139","Mali",7090
"140","Thailand",6884
"141","Burkina Faso",6707
"142","Malawi",6583
"143","Guyana",6319
"144","Congo",6200
"145","Suriname",6181
"146","Martinique",6091
"147","Mayotte",5890
"148","Djibouti",5831
"149","Iceland",5754
"150","Aruba",5442
"151","Equatorial Guinea",5277
"152","Central African Republic",4963
"153","Nicaragua",4829
"154","Somalia",4714
"155","Curaçao",4230
"156","Gambia",3800
"157","Togo",3633
"158","South Sudan",3558
"159","Benin",3251
"160","Niger",3208
"161","Jersey",2726
"162","Lesotho",2577
"163","Sierra Leone",2560
"164","Guinea-Bissau",2447
"165","San Marino",2333
"166","Liechtenstein",2221
"167","Chad",2113
"168","Yemen",2103
"169","United States Virgin Islands",2031
"170","Gibraltar",1973
"171","New Zealand",1806
"172","Liberia",1800
"173","Viet Nam",1465
"174","Sint Maarten",1434
"175","Eritrea",1320
"176","Mongolia",1215
"177","Sao Tome and Principe",1014
"178","Saint Martin",995
"179","Monaco",875
"180","Turks and Caicos Islands",874
"181","Burundi",822
"182","Papua New Guinea",780
"183","Comoros",765
"184","Other",745
"185","Bhutan",670
"186","Faroe Islands",610
"187","Bermuda",604
"188","Mauritius",527
"189","Tanzania",509
"190","Cambodia",378
"191","Isle of Man",377
"192","Barbados",372
"193","Saint Lucia",353
"194","Cayman Islands",330
"195","Guernsey",298
"196","Seychelles",267
"197","Saint Barthélemy",190
"198","Bonaire",165
"199","Antigua and Barbuda",159
"200","Brunei Darussalam",152
"201","Grenada",134
"202","Northern Mariana Islands",122
"203","Saint Vincent and the Grenadines",119
"204","Dominica",96
"205","British Virgin Islands",93
"206","Fiji",49
"207","Timor-Leste",44
"208","Lao People's Democratic Republic",41
"209","New Caledonia",38
"210","Saint Kitts and Nevis",32
"211","Falkland Islands",29
"212","Greenland",27
"213","Holy See",26
"214","Sint Eustatius",19
"215","Solomon Islands",17
"216","Saint Pierre and Miquelon",16
"217","Anguilla",13
"218","Montserrat",13
"219","Saba",5
"220","Marshall Islands",4
"221","Wallis and Futuna",4
"222","Vanuatu",1
"223","American Samoa",0
"224","Cook Islands",0
"225","Democratic People's Republic of Korea",0
"226","Kiribati",0
"227","Micronesia",0
"228","Nauru",0
"229","Niue",0
"230","Palau",0
"231","Pitcairn Islands",0
"232","Saint Helena",0
"233","Samoa",0
"234","Tokelau",0
"235","Tonga",0
"236","Turkmenistan",0
"237","Tuvalu",0
