"","Drzava","CO2 izpust per capita","Ekoloski indeks"
"1","Afghanistan",0.253922016090713,0.99
"2","Africa",1.09938189171211,0.97
"3","Albania",1.58514172467382,0.96
"4","Algeria",3.68772523119443,0.9
"5","Andorra",6.11570346644985,0.84
"6","Angola",1.12097374715992,0.97
"7","Anguilla",10.423285122431,0.73
"8","Antigua and Barbuda",5.89411956327942,0.85
"9","Argentina",4.4077322843963,0.88
"10","Armenia",1.88722704792561,0.95
"11","Aruba",8.46365132919765,0.78
"12","Asia",4.40271809538225,0.88
"13","Asia (excl. China & India)",4.13408253448601,0.89
"14","Australia",16.8776952387103,0.56
"15","Austria",7.74602246590632,0.8
"16","Azerbaijan",3.6972858366305,0.9
"17","Bahamas",4.69585796220372,0.88
"18","Bahrain",19.795379121999,0.48
"19","Bangladesh",0.531008356534025,0.99
"20","Barbados",4.46938007975302,0.88
"21","Belarus",6.92437059331999,0.82
"22","Belgium",8.68012647486505,0.77
"23","Belize",1.49999515108184,0.96
"24","Benin",0.622484644084963,0.98
"25","Bermuda",9.8678492939114,0.74
"26","Bhutan",1.61003423664554,0.96
"27","Bolivia",1.96089325719531,0.95
"28","Bonaire Sint Eustatius and Saba",12.8859294095987,0.66
"29","Bosnia and Herzegovina",6.51994584327419,0.83
"30","Botswana",2.9574668501086,0.92
"31","Brazil",2.18261613441237,0.94
"32","British Virgin Islands",7.19703020358329,0.81
"33","Brunei",18.4836972833982,0.51
"34","Bulgaria",6.31185195077021,0.83
"35","Burkina Faso",0.197403607585461,1
"36","Burundi",0.0466791779367818,1
"37","Cambodia",0.639766369800297,0.98
"38","Cameroon",0.322700194515906,0.99
"39","Canada",15.3314151785805,0.6
"40","Cape Verde",1.15483230507662,0.97
"41","Central African Republic",0.0650868244932277,1
"42","Chad",0.0655288388075042,1
"43","Chile",4.58522105143973,0.88
"44","China",7.04983700333493,0.81
"45","Colombia",1.95866838581077,0.95
"46","Comoros",0.262517691864672,0.99
"47","Congo",0.61615271657669,0.98
"48","Cook Islands",3.65060162805801,0.9
"49","Costa Rica",1.6120297304323,0.96
"50","Cote d'Ivoire",0.334699725415688,0.99
"51","Croatia",4.47547488511338,0.88
"52","Cuba",2.5239740556896,0.93
"53","Curacao",33.6327214560097,0.11
"54","Cyprus",6.2999334289561,0.83
"55","Czech Republic",9.93297521268896,0.74
"56","Democratic Republic of Congo",0.0242294351415789,1
"57","Denmark",6.05175790335775,0.84
"58","Djibouti",0.671739490486767,0.98
"59","Dominica",2.53343735614642,0.93
"60","Dominican Republic",2.33906983412196,0.94
"61","EU-27",6.89669428379792,0.82
"62","EU-28",6.73249376804808,0.82
"63","Ecuador",2.45348711021518,0.94
"64","Egypt",2.42639717725039,0.94
"65","El Salvador",1.1104466702391,0.97
"66","Equatorial Guinea",4.34484148056424,0.89
"67","Eritrea",0.214338619342926,0.99
"68","Estonia",14.7838698687175,0.61
"69","Ethiopia",0.136741916472857,1
"70","Europe",7.53042428102463,0.8
"71","Europe (excl. EU-27)",8.43112155488831,0.78
"72","Europe (excl. EU-28)",9.21867543548484,0.76
"73","Faeroe Islands",13.1830040217549,0.65
"74","Fiji",2.40665440763319,0.94
"75","Finland",8.50789044730805,0.78
"76","France",5.19938778432342,0.86
"77","French Polynesia",2.91986334195076,0.92
"78","Gabon",2.5286874799765,0.93
"79","Gambia",0.267820947135324,0.99
"80","Georgia",2.63798007925444,0.93
"81","Germany",9.1309603221894,0.76
"82","Ghana",0.614721855667284,0.98
"83","Greece",7.02212679442562,0.82
"84","Greenland",8.971542516641,0.76
"85","Grenada",2.43774964485183,0.94
"86","Guatemala",1.06476366473175,0.97
"87","Guinea",0.256109793050402,0.99
"88","Guinea-Bissau",0.181207641974582,1
"89","Guyana",3.12050664827023,0.92
"90","Haiti",0.269639931907365,0.99
"91","Honduras",1.0341554326718,0.97
"92","Hong Kong",5.8524718308294,0.85
"93","Hungary",5.1356453597751,0.87
"94","Iceland",10.7733248824411,0.72
"95","India",1.96216068063494,0.95
"96","Indonesia",2.29728431213511,0.94
"97","Iran",8.80702257424004,0.77
"98","Iraq",5.31235162145467,0.86
"99","Ireland",8.07867116967377,0.79
"100","Israel",7.66687955561427,0.8
"101","Italy",5.57551485835695,0.85
"102","Jamaica",2.79070984929469,0.93
"103","Japan",9.13492810331115,0.76
"104","Jordan",2.4171008460596,0.94
"105","Kazakhstan",17.5647818205932,0.54
"106","Kenya",0.359703439687616,0.99
"107","Kiribati",0.599794587977077,0.98
"108","Kuwait",23.703617835348,0.38
"109","Kyrgyzstan",1.59917591158175,0.96
"110","Laos",2.73613173284012,0.93
"111","Latvia",3.72958700543393,0.9
"112","Lebanon",3.53216842709948,0.91
"113","Lesotho",1.26153990592181,0.97
"114","Liberia",0.32340139791494,0.99
"115","Libya",8.08738940060805,0.79
"116","Liechtenstein",4.01862857669146,0.89
"117","Lithuania",4.83915125379163,0.87
"118","Luxembourg",15.8637199130988,0.58
"119","Macao",3.31196406886077,0.91
"120","Macedonia",3.48940419034451,0.91
"121","Madagascar",0.163021909199796,1
"122","Malawi",0.076114027841172,1
"123","Malaysia",8.07303154148821,0.79
"124","Maldives",2.95144399751339,0.92
"125","Mali",0.186612840045534,1
"126","Malta",3.60686745831621,0.91
"127","Marshall Islands",2.599109881234,0.93
"128","Mauritania",0.604470295550904,0.98
"129","Mauritius",3.83185268733284,0.9
"130","Mexico",3.78253773089426,0.9
"131","Moldova",1.26534307756653,0.97
"132","Mongolia",8.86837274124657,0.77
"133","Montenegro",3.19806726629604,0.92
"134","Montserrat",5.95616292710341,0.84
"135","Morocco",1.84045537615593,0.95
"136","Mozambique",0.280920898717933,0.99
"137","Myanmar",0.490329920865485,0.99
"138","Namibia",1.74527557720454,0.95
"139","Nauru",4.56813251853249,0.88
"140","Nepal",0.336269468045279,0.99
"141","Netherlands",9.47385465379174,0.75
"142","New Caledonia",20.5590800644646,0.46
"143","New Zealand",7.3299144790398,0.81
"144","Nicaragua",0.861645040191053,0.98
"145","Niger",0.103333298101445,1
"146","Nigeria",0.649874602079381,0.98
"147","Niue",3.86534290029672,0.9
"148","North America",11.4786363424615,0.7
"149","North America (excl. USA)",4.87971235907788,0.87
"150","North Korea",1.1827224517581,0.97
"151","Norway",8.30391833664447,0.78
"152","Oceania",11.4855213821526,0.7
"153","Oman",13.934785657755,0.63
"154","Pakistan",1.0533030474723,0.97
"155","Palau",13.0992176065611,0.66
"156","Palestine",0.659986972844523,0.98
"157","Panama",2.61867420685155,0.93
"158","Papua New Guinea",0.910746181141992,0.98
"159","Paraguay",1.06831602052019,0.97
"160","Peru",1.73595377581353,0.95
"161","Philippines",1.2664584198293,0.97
"162","Poland",9.05906773488196,0.76
"163","Portugal",4.96542433089998,0.87
"164","Qatar",37.9665329137254,0
"165","Romania",3.79681716683326,0.9
"166","Russia",11.7384291621148,0.69
"167","Rwanda",0.0912379338468057,1
"168","Saint Helena",1.86130091471982,0.95
"169","Saint Kitts and Nevis",4.65325228679954,0.88
"170","Saint Lucia",2.31128575124549,0.94
"171","Saint Pierre and Miquelon",13.0291064030387,0.66
"172","Saint Vincent and the Grenadines",2.03051008878525,0.95
"173","Samoa",1.32131619550959,0.97
"174","Sao Tome and Principe",0.586386932409936,0.98
"175","Saudi Arabia",18.4346222450727,0.51
"176","Senegal",0.738671846971173,0.98
"177","Serbia",5.16233862583991,0.86
"178","Seychelles",6.75509442158992,0.82
"179","Sierra Leone",0.140938092727669,1
"180","Singapore",7.09649509107637,0.81
"181","Sint Maarten (Dutch part)",18.4357423934153,0.51
"182","Slovakia",6.60705871668919,0.83
"183","Slovenia",6.94503274492473,0.82
"184","Solomon Islands",0.272290617785068,0.99
"185","Somalia",0.0465703026932638,1
"186","South Africa",8.09029004251097,0.79
"187","South America",2.62922858821697,0.93
"188","South Korea",12.8739886025848,0.66
"189","South Sudan",0.170410371300015,1
"190","Spain",5.74462577265494,0.85
"191","Sri Lanka",1.10078020383803,0.97
"192","Sudan",0.503471712750619,0.99
"193","Suriname",3.10212280988309,0.92
"194","Swaziland",1.05521098678069,0.97
"195","Sweden",4.11420489741083,0.89
"196","Switzerland",4.32482310750651,0.89
"197","Syria",1.66873961166683,0.96
"198","Taiwan",11.5756128880863,0.7
"199","Tajikistan",0.60263646466387,0.98
"200","Tanzania",0.221954382089124,0.99
"201","Thailand",4.15148297820669,0.89
"202","Timor",0.411530987018973,0.99
"203","Togo",0.433257069384944,0.99
"204","Tonga",1.31346603408141,0.97
"205","Trinidad and Tobago",31.2785185595522,0.18
"206","Tunisia",2.73035606359066,0.93
"207","Turkey",5.20014071055526,0.86
"208","Turkmenistan",13.6547021577502,0.64
"209","Turks and Caicos Islands",5.77982915623522,0.85
"210","Tuvalu",0.96633572507418,0.97
"211","Uganda",0.135059483764395,1
"212","Ukraine",5.0856162199625,0.87
"213","United Arab Emirates",21.3479728449458,0.44
"214","United Kingdom",5.64534705407043,0.85
"215","United States",16.5586796643239,0.56
"216","Uruguay",2.0132966571117,0.95
"217","Uzbekistan",2.81023548478591,0.93
"218","Vanuatu",0.527691863521736,0.99
"219","Venezuela",4.80370417179932,0.87
"220","Vietnam",2.16294658878936,0.94
"221","World",4.79259823549219,0.87
"222","Yemen",0.355824562398212,0.99
"223","Zambia",0.301292952427985,0.99
"224","Zimbabwe",0.849276114919392,0.98
