"","Drzava","Koeficient","Indeks neenakosti"
"1","Afghanistan",NA,NA
"2","Albania",10.9,0.82
"3","Algeria",19.7,0.6
"4","Angola",31.7,0.31
"5","Argentina",13.6,0.75
"6","Armenia",9.7,0.85
"7","Australia",7.9,0.89
"8","Austria",7.5,0.9
"9","Azerbaijan",9.3,0.86
"10","Bahamas",NA,NA
"11","Bangladesh",23.6,0.51
"12","Barbados",16,0.69
"13","Belarus",6.3,0.93
"14","Belgium",7.6,0.9
"15","Belize",21.6,0.56
"16","Benin",36.9,0.18
"17","Bhutan",26.2,0.44
"18","Bolivia",24.1,0.49
"19","Bosnia and Herzegovina",14.2,0.74
"20","Botswana",NA,NA
"21","Brazil",23.8,0.5
"22","Bulgaria",12.1,0.79
"23","Burkina Faso",29.5,0.36
"24","Burundi",29.6,0.36
"25","Cabo Verde",NA,NA
"26","Cambodia",19.9,0.6
"27","Cameroon",34.1,0.25
"28","Canada",8.5,0.88
"29","Central African Republic",41.3,0.07
"30","Chad",37.4,0.17
"31","Chile",19.8,0.6
"32","China",15.6,0.7
"33","Colombia",22.4,0.54
"34","Comoros",44.2,0
"35","Congo",24.9,0.48
"36","Congo",30.9,0.33
"37","Costa Rica",18.8,0.63
"38","Croatia",8.1,0.89
"39","Cyprus",9.6,0.85
"40","Czechia",4.5,0.98
"41","Côte d'Ivoire",35,0.23
"42","Denmark",6,0.94
"43","Djibouti",NA,NA
"44","Dominican Republic",21.4,0.56
"45","Ecuador",19.5,0.61
"46","Egypt",28.8,0.38
"47","El Salvador",21.6,0.56
"48","Estonia",7.1,0.91
"49","Eswatini",29,0.37
"50","Ethiopia",27.2,0.42
"51","Fiji",NA,NA
"52","Finland",5.2,0.96
"53","France",9.1,0.86
"54","Gabon",22.5,0.53
"55","Gambia",36.4,0.19
"56","Georgia",11.6,0.8
"57","Germany",8.1,0.89
"58","Ghana",28.1,0.4
"59","Greece",11.9,0.8
"60","Guatemala",26.9,0.43
"61","Guinea",32.2,0.3
"62","Guinea-Bissau",37.4,0.17
"63","Guyana",18.3,0.64
"64","Haiti",40,0.1
"65","Honduras",25,0.47
"66","Hong Kong, China",12.6,0.78
"67","Hungary",7.8,0.9
"68","Iceland",5.6,0.95
"69","India",16.8,0.67
"70","Indonesia",17.4,0.66
"71","Iran",11.3,0.81
"72","Iraq",19.4,0.61
"73","Ireland",7.3,0.91
"74","Israel",10.2,0.84
"75","Italy",11.8,0.8
"76","Jamaica",15.9,0.7
"77","Japan",3.6,1
"78","Jordan",14.6,0.73
"79","Kazakhstan",7.1,0.91
"80","Kenya",26.2,0.44
"81","Kiribati",NA,NA
"82","Korea",13.9,0.75
"83","Kyrgyzstan",9.5,0.85
