"","Drzava","Indeks izobrazbe","Indeks zivljenja","Indeks prihodka","Indeks neenakosti","Ekoloski indeks","Indeks COVID","Stari HDI","Novi HDI"
"1","Afghanistan",0.413,0.684,0.432,0.01,0.99,0.96,0.5,0.32
"2","Albania",0.758,0.899,0.727,0.82,0.96,0.82,0.79,0.83
"3","Algeria",0.675,0.872,0.743,0.6,0.9,0.96,0.76,0.78
"4","Andorra",0.708,0.951,0.935,0.01,0.84,0.22,0.86,0.32
"5","Angola",0.498,0.627,0.607,0.31,0.97,0.99,0.57,0.62
"6","Antigua and Barbuda",0.655,0.875,0.816,0.01,0.85,0.97,0.78,0.4
"7","Argentina",0.842,0.87,0.781,0.75,0.88,0.38,0.83,0.72
"8","Armenia",0.759,0.845,0.684,0.85,0.95,0.53,0.76,0.76
"9","Australia",0.923,0.974,0.92,0.89,0.56,0.97,0.94,0.86
"10","Austria",0.871,0.945,0.927,0.9,0.8,0.86,0.91,0.88
"11","Azerbaijan",0.694,0.813,0.759,0.86,0.9,0.93,0.75,0.82
"12","Bahamas",0.741,0.827,0.853,0.01,0.88,0.68,0.81,0.38
"13","Bahrain",0.738,0.879,0.907,0.01,0.48,0.82,0.84,0.36
"14","Bangladesh",0.513,0.805,0.559,0.51,0.99,0.97,0.61,0.7
"15","Barbados",0.773,0.909,0.766,0.69,0.88,0.98,0.81,0.83
"16","Belarus",0.837,0.84,0.776,0.93,0.82,0.91,0.82,0.85
"17","Belgium",0.893,0.946,0.919,0.9,0.77,0.01,0.92,0.42
"18","Belize",0.691,0.838,0.645,0.56,0.96,0.84,0.72,0.74
"19","Benin",0.476,0.638,0.462,0.18,0.98,1,0.52,0.54
"20","Bhutan",0.441,0.792,0.673,0.44,0.96,1,0.62,0.68
"21","Bolivia",0.69,0.788,0.638,0.49,0.95,0.39,0.7,0.63
"22","Bosnia and Herzegovina",0.706,0.881,0.732,0.74,0.83,0.55,0.77,0.73
"23","Botswana",0.664,0.758,0.766,0.01,0.92,0.99,0.73,0.39
"24","Brazil",0.689,0.857,0.747,0.5,0.94,0.38,0.76,0.65
"25","Brunei Darussalam",0.703,0.857,1,0.01,0.01,0.99,0.84,0.2
"26","Bulgaria",0.805,0.845,0.798,0.79,0.83,0.76,0.82,0.8
"27","Burkina Faso",0.3,0.633,0.428,0.36,1,1,0.43,0.56
"28","Burundi",0.418,0.635,0.285,0.36,1,1,0.42,0.55
"29","Cabo Verde",0.538,0.812,0.631,0.01,0.01,0.86,0.65,0.17
"30","Cambodia",0.476,0.763,0.541,0.6,0.98,1,0.58,0.7
"31","Cameroon",0.564,0.599,0.528,0.25,0.99,0.98,0.56,0.59
"32","Canada",0.891,0.959,0.918,0.88,0.6,0.78,0.92,0.83
"33","Central African Republic",0.353,0.505,0.31,0.07,1,0.99,0.38,0.4
"34","Chad",0.288,0.523,0.429,0.17,1,0.99,0.4,0.47
"35","Chile",0.807,0.924,0.815,0.6,0.88,0.39,0.85,0.71
"36","China",0.649,0.872,0.768,0.7,0.81,1,0.76,0.79
"37","Colombia",0.683,0.879,0.734,0.54,0.95,0.46,0.76,0.69
"38","Comoros",0.476,0.679,0.482,0.01,0.99,0.99,0.54,0.34
"39","Congo",0.539,0.681,0.613,0.48,0.98,0.98,0.61,0.69
