"","Drzava","Prebivalstvo"
"1","China",1405631120
"2","India",1370521240
"3","United States",330770244
"4","Indonesia",269603400
"5","Pakistan",220892331
"6","Brazil",212431137
"7","Nigeria",206139587
"8","Bangladesh",169767168
"9","Russia",146748590
"10","Mexico",127792286
"11","Japan",125770000
"12","Philippines",109524677
"13","DR Congo",101935800
"14","Egypt",101270539
"15","Ethiopia",100829000
"16","Vietnam",96483981
"17","Iran",84007657
"18","Turkey",83154997
"19","Germany",83122889
"20","France",67153000
"21","United Kingdom",66796807
"22","Thailand",66584705
"23","Italy",59991186
"24","South Africa",59622350
"25","Tanzania",57637628
"26","Myanmar",54817919
"27","South Korea",51834302
"28","Colombia",50372424
"29","Kenya",47564296
"30","Spain",47329981
"31","Argentina",45376763
"32","Algeria",43900000
"33","Sudan",43046620
"34","Ukraine",41703327
"35","Uganda",41583600
"36","Iraq",40150200
"37","Poland",38351000
"38","Canada",38269179
"39","Morocco",36095849
"40","Uzbekistan",34564796
"41","Saudi Arabia",34218169
"42","Afghanistan",32890171
"43","Malaysia",32715760
"44","Peru",32625948
"45","Angola",31127674
"46","Ghana",30955202
"47","Mozambique",30066648
"48","Nepal",29996478
"49","Yemen",29825968
"50","Venezuela",28435943
"51","Ivory Coast",26453542
"52","Madagascar",26251309
"53","Australia",25709325
"54","North Korea",25550000
"55","Cameroon",24348251
"56","Taiwan",23566471
"57","Niger",23196002
"58","Sri Lanka",21803000
"59","Burkina Faso",21510181
"60","Mali",20250833
"61","Chile",19458310
"62","Romania",19317984
"63","Kazakhstan",18827240
"64","Malawi",18449828
"65","Zambia",17885422
"66","Ecuador",17624372
"67","Netherlands",17537831
"68","Syria",17500657
"69","Guatemala",16858333
"70","Senegal",16705608
"71","Chad",16244513
"72","Somalia",15893219
"73","Zimbabwe",15473818
"74","Cambodia",15288489
"75","South Sudan",13249924
"76","Rwanda",12663116
"77","Guinea",12559623
"78","Burundi",12309600
"79","Benin",12114193
"80","Haiti",11743017
"81","Tunisia",11708370
"82","Bolivia",11633371
"83","Belgium",11550039
"84","Cuba",11193470
"85","Jordan",10828948
"86","Greece",10724599
"87","Czech Republic",10699142
"88","Dominican Republic",10448499
"89","Sweden",10373225
"90","Portugal",10295909
"91","Azerbaijan",10095900
"92","Hungary",9769526
"93","Belarus",9408400
"94","United Arab Emirates",9366829
"95","Tajikistan",9313800
"96","Honduras",9304380
"97","Israel",9289700
"98","Austria",8935112
"99","Papua New Guinea",8935000
"100","Switzerland",8632703
"101","Sierra Leone",8100318
"102","Togo",7706000
"103","Hong Kong",7509200
"104","Paraguay",7252672
