"","Drzava","Stevilo primerov","Prebivalstvo","Stevilo primerov na 1000 prebivalcev","Indeks COVID"
"1","United States",19346790,330922645,58.46,0.44
"2","India",10286709,1371608233,7.5,0.93
"3","Brazil",7619200,212550288,35.85,0.65
"4","Russian Federation",3186336,146748590,21.71,0.79
"5","France",2576420,67153000,38.37,0.63
"6","United Kingdom",2488784,66796807,37.26,0.64
"7","Italy",2107166,59388035,35.48,0.66
"8","Spain",1893502,47332614,40,0.61
"9","Germany",1742661,83122889,20.96,0.8
"10","Colombia",1626461,50372424,32.29,0.69
"11","Argentina",1613928,45376763,35.57,0.66
"12","Mexico",1413935,127792286,11.06,0.89
"13","Turkey",1394314,83154997,16.77,0.84
"14","Poland",1305774,38335000,34.06,0.67
"15","Iran",1225143,84081319,14.57,0.86
"16","Ukraine",1064479,41670812,25.54,0.75
"17","South Africa",1057561,59622350,17.74,0.83
"18","Peru",1012614,32625948,31.04,0.7
"19","Netherlands",797516,17547281,45.45,0.56
"20","Indonesia",743198,269603400,2.76,0.97
"21","Czechia",732022,10707839,68.36,0.34
"22","Belgium",646496,11555790,55.95,0.46
"23","Romania",632263,19317984,32.73,0.68
"24","Chile",608973,19458310,31.3,0.7
"25","Iraq",595291,40150200,14.83,0.86
"26","Canada",572982,38300761,14.96,0.86
"27","Bangladesh",513510,169919070,3.02,0.97
"28","Pakistan",479715,220892331,2.17,0.98
"29","Philippines",474064,109642726,4.32,0.96
"30","Switzerland",450075,8655100,52,0.5
"31","Morocco",439193,36121885,12.16,0.88
"32","Sweden",437379,10377781,42.15,0.59
"33","Portugal",413678,10295909,40.18,0.61
"34","Israel",408277,9303200,43.89,0.58
"35","Saudi Arabia",362741,34218169,10.6,0.9
"36","Austria",359362,8935112,40.22,0.61
"37","Serbia",337923,6926705,48.79,0.53
"38","Hungary",325278,9769526,33.3,0.68
"39","Jordan",294494,10848496,27.15,0.74
"40","Nepal",260593,29996478,8.69,0.92
"41","Panama",242744,4278500,56.74,0.45
"42","Japan",234395,125710000,1.86,0.98
"43","Georgia",228410,3716858,61.45,0.41
"44","Azerbaijan",218700,10121809,21.61,0.79
