"","Drzava","Stevilo smrti","Prebivalstvo","Stevilo smrti na 1000 prebivalcev","Indeks COVID"
"1","Afghanistan",1605,32890171,0.05,0.96
"2","Albania",612,2845955,0.22,0.82
"3","Algeria",2125,43900000,0.05,0.96
"4","American Samoa",0,56700,0,1
"5","Andorra",75,77543,0.97,0.22
"6","Angola",322,31127674,0.01,0.99
"7","Anguilla",0,14869,0,1
"8","Antigua and Barbuda",4,97895,0.04,0.97
"9","Argentina",35045,45376763,0.77,0.38
"10","Armenia",1763,2967900,0.59,0.53
"11","Aruba",43,112269,0.38,0.7
"12","Australia",907,25709325,0.04,0.97
"13","Austria",1629,8935112,0.18,0.86
"14","Azerbaijan",946,10095900,0.09,0.93
"15","Bahamas",155,389410,0.4,0.68
"16","Bahrain",333,1503091,0.22,0.82
"17","Bangladesh",6173,169767168,0.04,0.97
"18","Barbados",7,287025,0.02,0.98
"19","Belarus",1039,9408400,0.11,0.91
"20","Belgium",14399,11550039,1.25,0
"21","Belize",85,419199,0.2,0.84
"22","Benin",43,12114193,0,1
"23","Bermuda",9,64054,0.14,0.89
"24","Bhutan",0,748931,0,1
"25","Bolivia",8835,11633371,0.76,0.39
"26","Bosnia and Herzegovina",1857,3332593,0.56,0.55
"27","Botswana",27,2374698,0.01,0.99
"28","Brazil",164737,212431137,0.78,0.38
"29","British Virgin Islands",1,30030,0.03,0.98
"30","Brunei Darussalam",3,459500,0.01,0.99
"31","Bulgaria",2091,6951482,0.3,0.76
"32","Burkina Faso",68,21510181,0,1
"33","Burundi",1,12309600,0,1
"34","Cabo Verde",102,556857,0.18,0.86
"35","Cambodia",0,15288489,0,1
"36","Cameroon",433,24348251,0.02,0.98
"37","Canada",10828,38269179,0.28,0.78
"38","Cayman Islands",1,69914,0.01,0.99
"39","Central African Republic",63,5633412,0.01,0.99
"40","Chad",100,16244513,0.01,0.99
"41","Chile",14777,19458310,0.76,0.39
"42","China",4749,1405631120,0,1
"43","Colombia",33669,50372424,0.67,0.46
"44","Comoros",7,758316,0.01,0.99
"45","Congo",92,5518092,0.02,0.98
"46","Cook Islands",0,15200,0,1
"47","Costa Rica",1537,5111238,0.3,0.76
"48","Croatia",1006,4058165,0.25,0.8
"49","Cuba",131,11193470,0.01,0.99
"50","Curaçao",2,156223,0.01,0.99
"51","Cyprus",39,888000,0.04,0.97
