"","Drzava","Indeks zivljenja"
"1","Afghanistan",0.684
"2","Albania",0.899
"3","Algeria",0.872
"4","Andorra",0.951
"5","Angola",0.627
"6","Antigua and Barbuda",0.875
"7","Argentina",0.87
"8","Armenia",0.845
"9","Australia",0.974
"10","Austria",0.945
"11","Azerbaijan",0.813
"12","Bahamas",0.827
"13","Bahrain",0.879
"14","Bangladesh",0.805
"15","Barbados",0.909
"16","Belarus",0.84
"17","Belgium",0.946
"18","Belize",0.838
"19","Benin",0.638
"20","Bhutan",0.792
"21","Bolivia",0.788
"22","Bosnia and Herzegovina",0.881
"23","Botswana",0.758
"24","Brazil",0.857
"25","Brunei Darussalam",0.857
"26","Bulgaria",0.845
"27","Burkina Faso",0.633
"28","Burundi",0.635
"29","Cabo Verde",0.812
"30","Cambodia",0.763
"31","Cameroon",0.599
"32","Canada",0.959
"33","Central African Republic",0.505
"34","Chad",0.523
"35","Chile",0.924
"36","China",0.872
"37","Colombia",0.879
"38","Comoros",0.679
"39","Congo",0.681
"40","Congo",0.621
"41","Costa Rica",0.925
"42","Croatia",0.898
"43","Cuba",0.903
"44","Cyprus",0.936
"45","Czechia",0.911
"46","Côte d'Ivoire",0.576
"47","Denmark",0.935
"48","Djibouti",0.717
"49","Dominica",0.894
"50","Dominican Republic",0.829
"51","Ecuador",0.874
"52","Egypt",0.797
"53","El Salvador",0.817
"54","Equatorial Guinea",0.591
"55","Eritrea",0.707
"56","Estonia",0.901
"57","Eswatini",0.606
"58","Ethiopia",0.711
"59","Fiji",0.728
"60","Finland",0.95
"61","France",0.962
"62","Gabon",0.711
"63","Gambia",0.642
"64","Georgia",0.825
"65","Germany",0.941
"66","Ghana",0.674
"67","Greece",0.955
"68","Grenada",0.806
"69","Guatemala",0.832
"70","Guinea",0.634
"71","Guinea-Bissau",0.585
"72","Guyana",0.766
"73","Haiti",0.672
"74","Honduras",0.848
"75","Hong Kong, China",0.995
"76","Hungary",0.872
"77","Iceland",0.967
"78","India",0.76
"79","Indonesia",0.792
"80","Iran",0.869
"81","Iraq",0.776
"82","Ireland",0.955
"83","Israel",0.966
"84","Italy",0.975
"85","Jamaica",0.836
"86","Japan",0.992
"87","Jordan",0.837
"88","Kazakhstan",0.819
"89","Kenya",0.713
"90","Kiribati",0.74
"91","Korea",0.801
"92","Korea",0.967
"93","Kuwait",0.852
"94","Kyrgyzstan",0.79
"95","Lao People's Democratic Republic",0.732
"96","Latvia",0.849
"97","Lebanon",0.906
"98","Lesotho",0.519
"99","Liberia",0.673
"100","Libya",0.811
"101","Liechtenstein",0.931
"102","Lithuania",0.858
"103","Luxembourg",0.955
"104","Madagascar",0.718
"105","Malawi",0.674
"106","Malaysia",0.862
"107","Maldives",0.902
"108","Mali",0.598
"109","Malta",0.96
"110","Marshall Islands",0.829
"111","Mauritania",0.688
"112","Mauritius",0.844
"113","Mexico",0.846
"114","Micronesia",0.735
"115","Moldova",0.797
"116","Mongolia",0.764
"117","Montenegro",0.873
"118","Morocco",0.869
"119","Mozambique",0.618
"120","Myanmar",0.721
"121","Namibia",0.667
"122","Nepal",0.777
"123","Netherlands",0.956
"124","New Zealand",0.956
"125","Nicaragua",0.835
"126","Niger",0.647
"127","Nigeria",0.528
"128","North Macedonia",0.857
"129","Norway",0.958
"130","Oman",0.887
"131","Pakistan",0.725
"132","Palau",0.826
"133","Palestine, State of",0.829
"134","Panama",0.897
"135","Papua New Guinea",0.681
"136","Paraguay",0.833
"137","Peru",0.869
"138","Philippines",0.786
"139","Poland",0.901
"140","Portugal",0.952
"141","Qatar",0.925
"142","Romania",0.86
"143","Russian Federation",0.806
"144","Rwanda",0.749
"145","Saint Kitts and Nevis",0.839
"146","Saint Lucia",0.862
"147","Saint Vincent and the Grenadines",0.806
"148","Samoa",0.818
"149","Sao Tome and Principe",0.772
"150","Saudi Arabia",0.846
"151","Senegal",0.733
"152","Serbia",0.859
"153","Seychelles",0.821
"154","Sierra Leone",0.528
"155","Singapore",0.976
"156","Slovakia",0.883
"157","Slovenia",0.941
"158","Solomon Islands",0.813
"159","Somalia",0.57
"160","South Africa",0.675
"161","South Sudan",0.579
"162","Spain",0.976
"163","Sri Lanka",0.874
"164","Sudan",0.694
"165","Suriname",0.793
"166","Sweden",0.964
"167","Switzerland",0.979
"168","Syrian Arab Republic",0.797
"169","Tajikistan",0.783
"170","Tanzania",0.693
"171","Thailand",0.876
"172","Timor-Leste",0.758
"173","Togo",0.627
"174","Tonga",0.782
"175","Trinidad and Tobago",0.821
"176","Tunisia",0.869
"177","Turkey",0.884
"178","Turkmenistan",0.74
"179","Uganda",0.661
"180","Ukraine",0.799
"181","United Arab Emirates",0.889
"182","United Kingdom",0.942
"183","United States",0.905
"184","Uruguay",0.889
"185","Uzbekistan",0.793
"186","Vanuatu",0.774
"187","Venezuela",0.802
"188","Viet Nam",0.851
"189","Yemen",0.709
